county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
27073,Lac qui Parle,MN,31.678716071629687,39.84465592972181,28.47689379434621,7.073249239779254,48.458632728910914,1.3469620452753688
27045,Fillmore,MN,25.396468763913838,54.51230866074034,20.09093393517879,6.305494910414076,47.679305421215055,1.348936637342054
27063,Jackson,MN,32.08518051990994,40.49090866149171,27.423175512903278,6.703687550188157,42.054263041048,1.369276030923777
27039,Dodge,MN,26.960223990659376,52.085087261107354,20.95464419590733,6.238954095741412,44.76072328396731,1.3638046150064524
27109,Olmsted,MN,24.787401574803148,49.16817415470125,26.044555812876332,6.350517832329782,47.33278184344604,1.3515058823529413
27067,Kandiyohi,MN,28.787692968884308,39.22524325253567,31.98702423929861,6.962264053635894,44.201132886367546,1.3171822245143545
27047,Freeborn,MN,30.16982269110925,45.1530265884251,24.67678692880755,6.4429954288787314,43.154314094554195,1.3600150261771824
27121,Pope,MN,28.597548986371958,36.0627737473727,35.33991626550953,7.059214184012475,45.91604854566411,1.260100345786155
27143,Sibley,MN,30.924034844186934,41.247017522682924,27.829148812038547,6.730832679501882,45.09192467861669,1.3497716619389624
27133,Rock,MN,36.25413807956188,50.60385656708611,13.1418699812325,6.440053225856074,37.925608405377965,1.4020922684059933
27033,Cottonwood,MN,30.092543259487645,37.44867060433374,32.45881038574126,6.709876500441689,43.73860010739092,1.3634943619766857
27161,Waseca,MN,33.02234359483615,41.4844721867562,25.4932724893996,6.555085827776989,43.91349758042906,1.3565906905628853
27071,Koochiching,MN,22.93430305030063,35.982842058952926,41.082732072151344,5.694724299750697,60.06004362809796,1.1046902038422055
27005,Becker,MN,17.64853876790979,27.867727029776376,54.48352040552423,6.455687167020121,51.27961344161106,1.2189706719081363
27165,Watonwan,MN,30.672269351480686,37.7466237842205,31.581489077405923,6.866172586308691,44.91518442559274,1.3800599732761567
27171,Wright,MN,17.60597379344022,25.76508776213342,56.62878109655192,6.315859580586528,44.103320582729715,1.276179973413635
27027,Clay,MN,28.342557687431327,33.75064660637309,37.907001944045305,7.273773983602401,53.22380863832306,1.2892217056884456
27139,Scott,MN,25.417032477524906,40.294327906913956,34.28887719014065,6.297983315785212,48.6863745579223,1.3068380983234795
27107,Norman,MN,28.468315318613794,34.406552157786656,37.125557554243144,7.20702972030755,51.491337015871,1.2917806714529043
27169,Winona,MN,24.87428725625924,55.75727057277612,19.368216908745335,6.234195274186357,50.76465260342117,1.3088976230142901
